user1X,user1Y,1YRaw
3820,0,2140
3820,0,2140
3820,0,2140
3820,0,2140
3820,0,2140
3819,4,2136
3813,38,2102
3771,99,2041
3744,111,2029
3694,185,1955
3639,214,1926
3566,192,1948
3464,126,2014
3344,80,2060
3262,68,2072
3271,102,2038
3296,142,1998
3340,199,1941
3366,254,1886
3371,287,1853
3331,422,1718
3327,429,1711
3305,486,1654
3281,566,1574
3265,566,1574
3157,528,1612
3052,424,1716
3006,406,1734
2920,335,1805
2868,314,1826
2795,280,1860
2771,280,1860
2749,321,1819
2756,385,1755
2798,434,1706
2798,522,1618
2782,599,1541
2772,622,1518
2739,659,1481
2686,704,1436
2686,704,1436
2634,636,1504
2514,603,1537
2425,592,1548
2425,606,1534
2463,669,1471
2492,700,1440
2545,735,1405
2576,790,1350
2578,835,1305
2566,847,1293
2538,843,1297
2454,819,1321
2369,797,1343
2350,795,1345
2221,675,1465
2189,788,1352
2251,850,1290
2292,914,1226
2277,933,1207
2180,945,1195
2122,950,1190
2113,967,1173
2113,967,1173
2113,967,1173
