user1X,user1Y,1YRaw
1920,0,2140
1920,0,2140
1920,0,2140
1905,12,2128
1928,55,2085
1973,58,2082
2043,86,2054
2081,115,2025
1990,146,1994
1922,146,1994
1848,146,1994
1802,175,1965
1862,197,1943
1894,215,1925
1902,274,1866
1856,379,1761
1893,430,1710
1977,364,1776
2004,306,1834
2134,302,1838
2181,335,1805
2196,368,1772
2205,422,1718
2197,479,1661
2165,482,1658
2082,506,1634
2069,503,1637
1967,554,1586
1970,566,1574
1929,610,1530
2010,617,1523
2107,642,1498
2100,670,1470
1985,701,1439
2022,728,1412
2095,781,1359
2157,765,1375
2089,806,1334
2087,815,1325
2049,841,1299
2104,936,1204
2104,963,1177
2104,963,1177
2104,963,1177
