user1X,user1Y,user2X,user2Y,user3X,user3Y,,1Y,2Y,3Y
3820,1060,3820,1060,3820,1060,,1080,1080,1080
3820,1060,3820,1060,3820,1060,,1080,1080,1080
3820,1060,3820,1060,3820,1060,,1080,1080,1080
3820,1060,3820,1060,3820,1060,,1080,1080,1080
3820,1060,3820,1060,3820,1060,,1080,1080,1080
3820,1060,3820,1060,3814,1071,,1080,1080,1069
3815,1063,3820,1060,3805,1095,,1077,1080,1045
3815,1068,3820,1060,3791,1149,,1072,1080,991
3810,1089,3817,1083,3773,1116,,1051,1057,1024
3804,1107,3817,1089,3748,1069,,1033,1051,1071
3802,1116,3801,1143,3731,1008,,1024,997,1132
3800,1119,3794,1149,3709,919,,1021,991,1221
3779,1149,3765,1165,3669,912,,991,975,1228
3759,1173,3763,1165,3658,963,,967,975,1177
3746,1198,3763,1165,3640,1002,,942,975,1138
3735,1207,3763,1157,3620,1071,,933,983,1069
3708,1225,3763,1093,3593,1151,,915,1047,989
3682,1231,3758,1065,3596,1134,,909,1075,1006
3673,1224,3735,1027,3549,1102,,916,1113,1038
3660,1169,3732,1008,3541,1065,,971,1132,1075
3660,1140,3722,1007,3490,982,,1000,1133,1158
3660,1103,3714,1013,3473,955,,1037,1127,1185
3655,1063,3704,1032,3431,891,,1077,1108,1249
3645,1032,3704,1039,3395,820,,1108,1101,1320
3645,1004,3698,1086,3354,811,,1136,1054,1329
3645,974,3689,1088,3333,876,,1166,1052,1264
3645,932,3667,1104,3344,971,,1208,1036,1169
3614,881,3645,1137,3339,1053,,1259,1003,1087
3611,867,3642,1117,3323,1116,,1273,1023,1024
3610,861,3624,1060,3299,1112,,1279,1080,1028
3583,829,3597,1038,3270,1083,,1311,1102,1057
3565,828,3591,1066,3247,1036,,1312,1074,1104
3551,826,3585,1095,3229,950,,1314,1045,1190
3548,840,3576,1117,3221,903,,1300,1023,1237
3548,848,3554,1140,3209,819,,1292,1000,1321
3544,856,3535,1132,3188,780,,1284,1008,1360
3542,882,3506,1059,3172,780,,1258,1081,1360
3542,915,3501,1054,3139,902,,1225,1086,1238
3538,951,3478,1126,3139,940,,1189,1014,1200
3529,995,3478,1130,3137,989,,1145,1010,1151
3527,1012,3465,1111,3107,1022,,1128,1029,1118
3521,1031,3418,1069,3102,1018,,1109,1071,1122
3508,1063,3414,1035,3096,965,,1077,1105,1175
3495,1100,3398,999,3060,929,,1040,1141,1211
3475,1149,3372,1003,3014,843,,991,1137,1297
3475,1156,3359,1035,3000,840,,984,1105,1300
3470,1164,3339,1076,2907,825,,976,1064,1315
3467,1166,3327,1075,2898,839,,974,1065,1301
3458,1175,3294,1049,2898,897,,965,1091,1243
3441,1192,3260,1013,2869,963,,948,1127,1177
3426,1198,3249,1009,2850,983,,942,1131,1157
3415,1193,3244,1009,2799,1020,,947,1131,1120
3401,1157,3243,1020,2786,977,,983,1120,1163
3387,1149,3234,1030,2759,944,,991,1110,1196
3383,1138,3220,1058,2726,889,,1002,1082,1251
3366,1088,3200,1080,2698,838,,1052,1060,1302
3366,1037,3184,1068,2667,809,,1103,1072,1331
3366,1006,3149,1023,2640,809,,1134,1117,1331
3359,966,3138,1004,2634,871,,1174,1136,1269
3357,935,3116,947,2618,944,,1205,1193,1196
3357,926,3070,1002,2587,975,,1214,1138,1165
3355,914,3054,1012,2571,951,,1226,1128,1189
3355,912,3031,1069,2523,960,,1228,1071,1180
3343,885,3031,1069,2496,928,,1255,1071,1212
3312,872,2955,1019,2470,882,,1268,1121,1258
3312,872,2942,1000,2457,868,,1268,1140,1272
3312,872,2918,1019,2434,883,,1268,1121,1257
3284,863,2915,1050,2434,949,,1277,1090,1191
3261,859,2907,1061,2405,984,,1281,1079,1156
3256,859,2893,1077,2356,1019,,1281,1063,1121
3256,877,2873,1090,2330,977,,1263,1050,1163
3256,916,2850,1056,2270,894,,1224,1084,1246
3256,974,2797,1016,2270,894,,1166,1124,1246
3256,983,2787,1010,2191,891,,1157,1130,1249
3256,1015,2759,1034,2142,913,,1125,1106,1227
3256,1029,2744,1054,2122,993,,1111,1086,1147
3256,1058,2690,1057,2122,993,,1082,1083,1147
3249,1090,2659,1006,,,,1050,1134,
3244,1123,2659,1006,,,,1017,1134,
3233,1146,2605,1026,,,,994,1114,
3219,1160,2549,1026,,,,980,1114,
3180,1173,2514,1050,,,,967,1090,
3147,1173,2499,987,,,,967,1153,
3144,1173,2496,981,,,,967,1159,
3138,1150,2432,1031,,,,990,1109,
3134,1117,2407,1034,,,,1023,1106,
3134,1084,2353,1023,,,,1056,1117,
3129,1027,2306,1034,,,,1113,1106,
3120,974,2292,960,,,,1166,1180,
3120,965,2259,968,,,,1175,1172,
3120,949,2195,995,,,,1191,1145,
3110,900,2135,1019,,,,1240,1121,
3103,880,2088,977,,,,1260,1163,
3103,874,2046,987,,,,1266,1153,
3081,843,2046,987,,,,1297,1153,
3049,832,2046,987,,,,1308,1153,
3042,832,2046,987,,,,1308,1153,
3029,832,2046,987,,,,1308,1153,
3017,832,2046,987,,,,1308,1153,
3017,862,2046,987,,,,1278,1153,
3017,902,2046,987,,,,1238,1153,
3017,939,2046,987,,,,1201,1153,
3017,958,2046,987,,,,1182,1153,
3017,979,,,,,,1161,,
3015,1016,,,,,,1124,,
3015,1026,,,,,,1114,,
3015,1038,,,,,,1102,,
3015,1048,,,,,,1092,,
3015,1057,,,,,,1083,,
3007,1075,,,,,,1065,,
2980,1095,,,,,,1045,,
2951,1095,,,,,,1045,,
2951,1087,,,,,,1053,,
2937,1050,,,,,,1090,,
2936,1031,,,,,,1109,,
2932,1008,,,,,,1132,,
2917,972,,,,,,1168,,
2909,955,,,,,,1185,,
2877,906,,,,,,1234,,
2840,873,,,,,,1267,,
2815,850,,,,,,1290,,
2815,850,,,,,,1290,,
2776,850,,,,,,1290,,
2754,850,,,,,,1290,,
2754,861,,,,,,1279,,
2754,894,,,,,,1246,,
2754,929,,,,,,1211,,
2752,967,,,,,,1173,,
2752,1004,,,,,,1136,,
2752,1027,,,,,,1113,,
2752,1058,,,,,,1082,,
2749,1065,,,,,,1075,,
2725,1072,,,,,,1068,,
2687,1071,,,,,,1069,,
2671,1046,,,,,,1094,,
2665,998,,,,,,1142,,
2665,951,,,,,,1189,,
2665,922,,,,,,1218,,
2665,890,,,,,,1250,,
2665,872,,,,,,1268,,
2631,828,,,,,,1312,,
2587,786,,,,,,1354,,
2567,784,,,,,,1356,,
2564,784,,,,,,1356,,
2564,784,,,,,,1356,,
2551,802,,,,,,1338,,
2546,837,,,,,,1303,,
2540,887,,,,,,1253,,
2540,910,,,,,,1230,,
2528,948,,,,,,1192,,
2521,977,,,,,,1163,,
2513,1008,,,,,,1132,,
2494,1030,,,,,,1110,,
2483,1041,,,,,,1099,,
2455,1036,,,,,,1104,,
2418,979,,,,,,1161,,
2408,934,,,,,,1206,,
2389,892,,,,,,1248,,
2373,872,,,,,,1268,,
2352,864,,,,,,1276,,
2340,857,,,,,,1283,,
2305,829,,,,,,1311,,
2257,818,,,,,,1322,,
2210,818,,,,,,1322,,
2182,822,,,,,,1318,,
2177,850,,,,,,1290,,
2173,870,,,,,,1270,,
2167,890,,,,,,1250,,
2153,918,,,,,,1222,,
2150,928,,,,,,1212,,
2150,933,,,,,,1207,,
2150,933,,,,,,1207,,
2150,933,,,,,,1207,,
