user1X,user1Y,user2X,user2Y,user3X,user3Y,,1Y,2Y,3Y
1920,2120,1920,2120,1920,2120,,20,20,20
1920,2120,1920,2120,1920,2120,,20,20,20
1920,2120,1920,2120,1920,2120,,20,20,20
1920,2120,1920,2120,1920,2120,,20,20,20
1920,2120,1920,2120,1920,2120,,20,20,20
1920,2120,1920,2120,1920,2120,,20,20,20
1920,2120,1920,2120,1920,2120,,20,20,20
1920,2120,1920,2120,1922,2120,,20,20,20
1920,2115,1920,2112,1935,2120,,25,28,20
1920,2097,1920,2107,1981,2120,,43,33,20
1920,2076,1911,2100,1989,2120,,64,40,20
1941,2045,1910,2093,2011,2120,,95,47,20
1941,2035,1926,2064,2011,2120,,105,76,20
1941,1987,1944,2037,2011,2120,,153,103,20
1945,1937,1944,2036,1998,2105,,203,104,35
1916,1884,1943,2029,2004,2097,,256,111,43
1919,1872,1943,2022,2005,2094,,268,118,46
1987,1824,1934,2010,2005,2085,,316,130,55
1974,1788,1935,1977,2018,2061,,352,163,79
1953,1771,1943,1950,2013,2054,,369,190,86
1968,1734,1943,1931,1984,2047,,406,209,93
1955,1705,1943,1902,1977,2042,,435,238,98
1957,1678,1944,1889,1982,2026,,462,251,114
1960,1655,1937,1853,1998,2026,,485,287,114
1940,1629,1937,1837,1998,2026,,511,303,114
1950,1618,1940,1789,2031,1998,,522,351,142
1953,1600,1940,1763,2031,1978,,540,377,162
1953,1600,1940,1729,1995,1967,,540,411,173
1948,1575,1940,1672,1975,1961,,565,468,179
1932,1535,1937,1659,1975,1952,,605,481,188
1963,1505,1937,1659,1975,1948,,635,481,192
2012,1462,1937,1654,2011,1910,,678,486,230
1991,1403,1936,1564,2019,1905,,737,576,235
1996,1358,1936,1502,2011,1902,,782,638,238
2023,1332,1936,1456,1997,1886,,808,684,254
2018,1322,1936,1407,1986,1882,,818,733,258
1993,1307,1936,1356,1985,1875,,833,784,265
1993,1307,1934,1303,1984,1856,,833,837,284
2011,1226,1934,1301,1964,1847,,914,839,293
2011,1182,1934,1284,1958,1824,,958,856,316
2009,1131,1934,1240,2002,1804,,1009,900,336
2007,1116,1934,1200,2062,1766,,1024,940,374
2007,1110,1934,1174,2070,1753,,1030,966,387
2007,1101,1934,1174,2060,1752,,1039,966,388
2030,1087,1934,1160,2055,1730,,1053,980,410
2006,1055,1934,1076,2014,1725,,1085,1064,415
2004,1028,1934,1023,1997,1705,,1112,1117,435
2036,1012,1940,1000,1995,1687,,1128,1140,453
2036,1012,1940,987,1987,1683,,1128,1153,457
2019,995,1940,987,1995,1673,,1145,1153,467
2017,982,1940,987,2028,1657,,1158,1153,483
2017,982,1940,987,2015,1613,,1158,1153,527
,,,2140,1995,1586,,,,554
,,,2140,1987,1575,,,,565
,,,2140,1994,1559,,,,581
,,,2140,1994,1559,,,,581
,,,2140,1999,1550,,,,590
,,,2140,2005,1514,,,,626
,,,2140,2003,1496,,,,644
,,,2140,2020,1474,,,,666
,,,2140,2004,1438,,,,702
,,,2140,1993,1416,,,,724
,,,2140,1974,1407,,,,733
,,,2140,1974,1407,,,,733
,,,2140,1998,1373,,,,767
,,,2140,2012,1355,,,,785
,,,2140,2000,1330,,,,810
,,,2140,1991,1314,,,,826
,,,,1974,1294,,,,846
,,,,2024,1266,,,,874
,,,,2023,1255,,,,885
,,,,2017,1232,,,,908
,,,,2007,1231,,,,909
,,,,2031,1182,,,,958
,,,,2035,1145,,,,995
,,,,2025,1117,,,,1023
,,,,2019,1096,,,,1044
,,,,2037,1077,,,,1063
,,,,2042,1055,,,,1085
,,,,2046,1017,,,,1123
,,,,2037,996,,,,1144
,,,,2037,987,,,,1153
,,,,2037,987,,,,1153
,,,,2037,987,,,,1153
,,,,,,,,,In [ ]:
