user1X,user1Y,user2X,user2Y,user3X,user3Y,,1Y,2Y,3Y
20,2120,20,2120,20,2120,,20,20,20
20,2120,20,2120,20,2120,,20,20,20
20,2120,20,2120,20,2120,,20,20,20
20,2120,20,2120,20,2120,,20,20,20
20,2120,20,2120,20,2120,,20,20,20
51,2125,20,2120,28,2116,,15,20,24
60,2012,36,2116,95,2115,,128,24,25
110,2038,68,2134,157,2087,,102,6,53
113,1985,83,2119,165,2074,,155,21,66
226,1934,97,2084,170,1948,,206,56,192
235,1932,108,2029,154,1794,,208,111,346
307,1987,108,1954,196,1716,,153,186,424
360,2000,115,1876,218,1730,,140,264,410
413,2023,157,1804,291,1671,,117,336,469
402,1898,219,1772,327,1640,,242,368,500
388,1878,236,1778,395,1666,,262,362,474
326,1628,285,1790,416,1717,,512,350,423
324,1624,371,1834,473,1737,,516,306,403
346,1529,458,1859,531,1768,,611,281,372
409,1520,510,1890,571,1768,,620,250,372
513,1595,577,1917,586,1784,,545,223,356
595,1714,608,1934,670,1844,,426,206,296
697,1751,663,1925,750,1907,,389,215,233
848,1836,705,1856,792,1972,,304,284,168
903,1838,686,1777,783,1848,,302,363,292
995,1950,663,1708,801,1724,,190,432,416
1052,1888,646,1631,801,1715,,252,509,425
1055,1825,643,1542,778,1462,,315,598,678
1033,1701,643,1481,789,1396,,439,659,744
988,1666,668,1381,874,1425,,474,759,715
944,1512,725,1419,889,1436,,628,721,704
944,1407,790,1452,927,1376,,733,688,764
944,1362,856,1531,1023,1420,,778,609,720
950,1269,916,1589,1049,1425,,871,551,715
971,1256,984,1664,1111,1496,,884,476,644
1044,1332,1015,1675,1173,1493,,808,465,647
1103,1396,1041,1679,1211,1398,,744,461,742
1144,1427,1051,1613,1255,1467,,713,527,673
1240,1533,1059,1541,1315,1471,,607,599,669
1312,1525,1064,1440,1354,1509,,615,700,631
1320,1525,1063,1345,1392,1608,,615,795,532
1351,1450,1059,1281,1398,1690,,690,859,450
1405,1300,1059,1281,1434,1713,,840,859,427
1413,1207,1158,1300,1467,1687,,933,840,453
1416,1123,1239,1314,1454,1529,,1017,826,611
1497,1037,1295,1327,1412,1470,,1103,813,670
1550,1040,1352,1351,1343,1355,,1100,789,785
1593,1082,1363,1360,1306,1269,,1058,780,871
1604,1109,1452,1407,1299,1185,,1031,733,955
1642,1144,1518,1436,1299,1183,,996,704,957
1699,1186,1584,1449,1283,1041,,954,691,1099
1790,1204,1602,1411,1334,1070,,936,729,1070
1870,1131,1579,1286,1356,1140,,1009,854,1000
1870,1115,1625,1160,1372,1219,,1025,980,921
1912,1042,1625,1109,1394,1257,,1098,1031,883
1998,1013,1643,1056,1489,1348,,1127,1084,792
2013,1005,1636,1003,1525,1394,,1135,1137,746
2013,1005,1665,1016,1569,1425,,1135,1124,715
2013,1005,1707,1069,1615,1430,,1135,1071,710
,2140,1745,1113,1653,1450,,,1027,690
,,1807,1173,1653,1378,,,967,762
,,1880,1173,1646,1316,,,967,824
,,1922,1122,1635,1261,,,1018,879
,,1900,996,1606,1168,,,1144,972
,,1957,934,1606,1117,,,1206,1023
,,2017,977,1637,1097,,,1163,1043
,,2023,998,1669,1108,,,1142,1032
,,2023,998,1688,1114,,,1142,1026
,,,,1739,1156,,,,984
,,,,1739,1153,,,,987
,,,,1820,1208,,,,932
,,,,1856,1245,,,,895
,,,,1889,1260,,,,880
,,,,1889,1207,,,,933
,,,,1865,1110,,,,1030
,,,,1851,1078,,,,1062
,,,,1852,1010,,,,1130
,,,,1852,926,,,,1214
,,,,1898,965,,,,1175
,,,,1929,1043,,,,1097
,,,,1952,1114,,,,1026
,,,,1978,1145,,,,995
,,,,2006,1147,,,,993
,,,,2008,1099,,,,1041
,,,,1993,1042,,,,1098
,,,,1991,996,,,,1144
,,,,1991,993,,,,1147
,,,,1991,993,,,,1147
